product_names,product_prices,category
KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Vision & Atmos,"₹47,999",tv
SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV 2022 Edition,"₹52,990",tv
TOSHIBA 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with DTS X,"₹10,990",tv
SAMSUNG Crystal Vision 4K iSmart with Voice Assistant 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen T...,"₹28,490",tv
SAMSUNG Crystal 4K iSmart Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV 2023 Edition,"₹43,990",tv
Gangnam Street 108 cm (43 inch) Full HD LED Smart Android Based TV,"₹16,599",tv
XElectron 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999",tv
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,"₹26,999",tv
Mi X Pro 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV 2023 Edition with 4K Dolby Vision IQ | HDR...,"₹39,999",tv
Gangnam Street 80 cm (32 inch) HD Ready LED TV,"₹8,099
",tv
"Dyanora AU Series 108 cm (43 inch) Full HD LED Smart Android TV with Certified Android 11, Dolby Audio...","₹15,999",tv
TOSHIBA 108 cm (43 inch) Full HD LED Smart Android TV 2023 Edition with DTS X,"₹18,999",tv
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV 2023 Edition with HD |Dolby Audio | DTS:HD | ...,"₹11,499",tv
"iFFALCON by TCL U62 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with Dolby Audio, HDR10","₹23,999",tv
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,999
",tv
Cellecor 60 cm (24 inch) HD Ready LED TV,"₹6,399
",tv
XElectron 80 cm (32 inch) HD Ready LED TV,"₹7,299
",tv
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV 2022 Edition with Alpha5 Gen5 AI Processor | Magic Remo...,"₹15,990",tv
Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Coolita TV 2023 Edition,"₹23,999",tv
"Dyanora 127 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV with HDR 10, Micro Dimming, Noise Reduction,...","₹26,499",tv
Dyanora 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹19,499",tv
